2021-02-14/18:00:05		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:06		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:07		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:08		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:09		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:10		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:11		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
